"RowID","StudyArea","CountDate","AgeSex","Count"
531,"A","12/03/1987, 00.00.00","AF",3
532,"A","12/03/1987, 00.00.00","JF",1
533,"A","12/03/1987, 00.00.00","BB",3
534,"A","12/03/1987, 00.00.00","JX",1
535,"A","12/03/1987, 00.00.00",,1
536,"A","02/04/1987, 00.00.00","AM",4
537,"A","02/04/1987, 00.00.00","AF",1
538,"A","02/04/1987, 00.00.00","JM",1
539,"A","02/04/1987, 00.00.00","BB",2
540,"A","02/04/1987, 00.00.00",,1
541,"A","10/04/1987, 00.00.00","AM",4
542,"A","10/04/1987, 00.00.00","AF",1
543,"A","10/04/1987, 00.00.00","BB",2
544,"A","22/04/1987, 00.00.00","AM",4
545,"A","22/04/1987, 00.00.00","AF",1
546,"A","22/04/1987, 00.00.00","JM",1
547,"A","07/05/1987, 00.00.00","AM",2
548,"A","07/05/1987, 00.00.00","AF",1
549,"A","07/05/1987, 00.00.00","BB",2
550,"A","01/10/1987, 00.00.00","AM",1
551,"A","01/10/1987, 00.00.00","JX",3
552,"A","13/10/1987, 00.00.00","AM",1
553,"A","13/10/1987, 00.00.00","BB",2
554,"A","13/10/1987, 00.00.00","JX",2
555,"A","23/10/1987, 00.00.00","AM",1
556,"A","23/10/1987, 00.00.00","AF",1
557,"A","23/10/1987, 00.00.00","JF",1
558,"A","23/10/1987, 00.00.00","BB",5
559,"A","23/10/1987, 00.00.00","JX",1
560,"A","23/10/1987, 00.00.00",,4
561,"A","02/12/1987, 00.00.00","AM",7
562,"A","02/12/1987, 00.00.00","AF",2
563,"A","02/12/1987, 00.00.00","JM",1
564,"A","02/12/1987, 00.00.00","JF",2
565,"A","02/12/1987, 00.00.00","BB",4
566,"A","02/12/1987, 00.00.00",,3
567,"A","10/12/1987, 00.00.00","AM",5
568,"A","10/12/1987, 00.00.00","JM",1
569,"A","10/12/1987, 00.00.00","BB",2
570,"A","10/12/1987, 00.00.00",,4
571,"A","18/12/1987, 00.00.00","AM",2
572,"A","18/12/1987, 00.00.00","JM",2
573,"A","18/12/1987, 00.00.00","JF",3
574,"A","18/12/1987, 00.00.00","BB",5
575,"A","15/01/1988, 00.00.00","AM",1
576,"A","15/01/1988, 00.00.00","BB",2
577,"A","20/01/1988, 00.00.00","AM",2
578,"A","20/01/1988, 00.00.00","AF",1
579,"A","20/01/1988, 00.00.00","JM",1
580,"A","20/01/1988, 00.00.00","BB",3
581,"A","20/01/1988, 00.00.00",,1
